"","text.X","text.text"
"75",75,"Хоккеисты отметят день рождения тренера турниром в Челябинске http://t.co/rNVebJPVse http://t.co/nzEa6RhtzX"
"76",76,"В Челябинске введен режим повышенной пожарной опасности http://t.co/ftRnAMyW09 http://t.co/YzjqBfEvRE"
"77",77,"Сотрудник ГИБДД заплатит 800 тысяч за прощение нарушителя http://t.co/mSp6q9Mw8R http://t.co/kqY4BbCvUm"
"78",78,"Школьников незаконно заставили убирать несанкционированные свалки http://t.co/YkfGot3wqg http://t.co/tFvFzRIEjm"
"79",79,"Полкоманды сборной Чехии на Чемпионате мира по хоккею подкосила диарея http://t.co/PTVDmduHby http://t.co/P0FfA1UECe"
"80",80,"Рыбак, сообщивший об утонувшем школьнике, спас еще двух мальчиков http://t.co/Kgw3sLKHav http://t.co/f5gkgXUKpA"
"81",81,"Стиллавин обсудил с Сергеем Давыдовым возможное появление платных парковок в Челябинске http://t.co/MXjs9eDKcE http://t.co/jN69R1w59S"
"82",82,"Возле поселка Знойный сгорел электровоз http://t.co/qvZynjCymN http://t.co/FXQlaxcdDs"
"83",83,"На Южном Урале объявлено штормовое предупреждение из-за гроз и града http://t.co/77JcYnpeCm http://t.co/Wc2nClwEL0"
"84",84,"Труп мужчины выловили из реки в центре Челябинска http://t.co/HsZknn8Pvs http://t.co/ITzrgIo3es"
"85",85,"В Челябинске пропала ученица 9 класса http://t.co/XftfB1Tdyz http://t.co/MRGhxPKvJi"
"86",86,"Крупный град может пройти сегодня на Южном Урале http://t.co/P2VGTBqNWB http://t.co/SU00rBqiFl"
"87",87,"Южноуральцы смогут вызвать полицию через мобильное приложение http://t.co/daRUTPQP31 http://t.co/zScO2hH4Cd"
"88",88,"Женщина погибла, попав под колеса авто на «зебре» в Челябинске http://t.co/h8aAmOJEfn http://t.co/bSc4GTNLDv"
"89",89,"Галереи Южного Урала будут бесплатно работать в День музеев http://t.co/NZgkdDCEpe http://t.co/3cZ1Rj2v0p"
"90",90,"Годовалая девочка утонула во время купания с братом http://t.co/VCmBCAm9mo http://t.co/dtWVO9lmWe"
"91",91,"Поджигатели МАЗов в автосервисе попали на видео http://t.co/nxLI0WvVr0 http://t.co/nwvyMEzru8"
"92",92,"Дубровский объявил о намерении баллотироваться в губернаторы http://t.co/cpI4pOpgJj http://t.co/1w7fCb4kH9"
"93",93,"Мужчина сжег жену заживо в собственной постели http://t.co/5JK5uQKrad http://t.co/kNDK6REbU0"
"94",94,"Легковушка залетела под МАЗ на трассе: есть погибшие http://t.co/gQMS3N18aV http://t.co/oX0SXEmS7u"
"95",95,"Челябинская область избавляется от долгов под руководством Дубровского http://t.co/ETiCVBg7Vl http://t.co/JIbcWEOCLo"
"96",96,"Благоустраивать школы в Златоусте помогают пожарные http://t.co/TMHu0JiKUf http://t.co/2eLQMup5ef"
"97",97,"Челябинцу грозит срок за репост сообщения «Правого сектора» http://t.co/CEkiUgJBNk http://t.co/1d54DKuaa4"
"98",98,"Женщина случайно спустила на ребенка бойцовскую собаку http://t.co/Po9aaB5I4w http://t.co/TswfhfNI9F"
"99",99,"Боевые гранаты найдены в центре гаражного кооператива в Челябинске http://t.co/10p7on7Kg1 http://t.co/f6oHGwEwJz"
"100",100,"В Златоусте выполняют поручение Владимира Путина по оценке социальных услуг http://t.co/x7Z9nTRdu6 http://t.co/Jxf2jjSkqC"
"101",101,"Мужчина топором отрубил голову жене по ее просьбе http://t.co/lB7mQVrZWV http://t.co/d5rXam9Sel"
"102",102,"Кадетская школа в Златоусте получила лабораторию с оружием http://t.co/0rBX0kfh5w http://t.co/jLdhSrCLAG"
"103",103,"Карту безопасного детства представили челябинцам по поручению Дубровского http://t.co/ZsKCOclKPT http://t.co/4GZkOTCnht"
"104",104,"Загоревшийся на остановке трамвай златоустовцы сняли на видео http://t.co/J5q2Vguxtp http://t.co/ym0CM53R75"
"105",105,"ЗЭМЗ выполняет социальные обязательства после обещания, данного Дубровскому http://t.co/fiyG6hcFJ6 http://t.co/geiC2dIgM2"
"106",106,"Пожарный спас часть грузовиков во время пожара в автосервисе в Челябинске http://t.co/mxNZgBwWJw http://t.co/1IEXWj0Ccc"
"107",107,"Воспитательница жестоко избила малышку в яслях http://t.co/0vApHDzJPg http://t.co/iJ9mQOUCmt"
"108",108,"Полицейский с товарищами похитил женщину, чтобы отобрать ее квартиру и машину http://t.co/Z1SfE9ypmQ http://t.co/i2L5TClulP"
"109",109,"Нападающий «Металлурга» забил победный гол россиян на ЧМ-2014 http://t.co/IjQUxtD3OJ http://t.co/E1X8jRbPdF"
"110",110,"http://t.co/T7Y4UWiwmJ"
"111",111,"Златоустовец продал машину подростка и сообщил в полицию об угоне http://t.co/fY8ZwDP8nn http://t.co/7aXJBbMys7"
